"Canton,""Mois"",""Septembre 2017"",""Septembre 2017"",""Septembre 2017"",""Total"",""Total"",""Total"""
" ,""Mesures"",""Taux de chômage"",""Chômeurs inscrits"",""Demandeurs d'emploi"",""Taux de chômage"",""Chômeurs inscrits"",""Demandeurs d'emploi"""
"Zurich,,""3.3"",""27'225"",""34'156"",""3.3"",""27'225"",""34'156"""
"Berne,,""2.4"",""13'658"",""18'385"",""2.4"",""13'658"",""18'385"""
"Lucerne,,""1.7"",""3'885"",""6'756"",""1.7"",""3'885"",""6'756"""
"Uri,,""0.6"",""112"",""257"",""0.6"",""112"",""257"""
"Schwyz,,""1.7"",""1'455"",""2'229"",""1.7"",""1'455"",""2'229"""
"Obwald,,""0.7"",""153"",""319"",""0.7"",""153"",""319"""
"Nidwald,,""1"",""248"",""436"",""1"",""248"",""436"""
"Glaris,,""1.8"",""416"",""713"",""1.8"",""416"",""713"""
"Zoug,,""2.3"",""1'543"",""2'615"",""2.3"",""1'543"",""2'615"""
"Fribourg,,""2.7"",""4'466"",""7'837"",""2.7"",""4'466"",""7'837"""
"Soleure,,""2.6"",""3'801"",""6'628"",""2.6"",""3'801"",""6'628"""
"Bâle-Ville,,""3.5"",""3'455"",""5'168"",""3.5"",""3'455"",""5'168"""
"Bâle-Campagne,,""2.8"",""4'082"",""5'540"",""2.8"",""4'082"",""5'540"""
"Schaffhouse,,""3"",""1'286"",""2'328"",""3"",""1'286"",""2'328"""
"Appenzell Rhodes-Extérieures,,""1.7"",""523"",""866"",""1.7"",""523"",""866"""
"Appenzell Rhodes-Intérieures,,""0.7"",""62"",""102"",""0.7"",""62"",""102"""
"St-Gall,,""2.2"",""6'127"",""10'363"",""2.2"",""6'127"",""10'363"""
"Grisons,,""1.1"",""1'166"",""2'590"",""1.1"",""1'166"",""2'590"""
"Argovie,,""2.9"",""10'684"",""15'145"",""2.9"",""10'684"",""15'145"""
"Thurgovie,,""2"",""3'058"",""5'618"",""2"",""3'058"",""5'618"""
"Tessin,,""3.1"",""5'202"",""8'675"",""3.1"",""5'202"",""8'675"""
"Vaud,,""4.3"",""17'155"",""24'649"",""4.3"",""17'155"",""24'649"""
"Valais,,""2.8"",""4'816"",""8'027"",""2.8"",""4'816"",""8'027"""
"Neuchâtel,,""5.1"",""4'738"",""6'350"",""5.1"",""4'738"",""6'350"""
"Genève,,""5.2"",""12'234"",""15'497"",""5.2"",""12'234"",""15'497"""
"Jura,,""4.4"",""1'619"",""2'375"",""4.4"",""1'619"",""2'375"""
"Total,,""3"",""133'169"",""193'624"",""3"",""133'169"",""193'624"""
